"MSP_id","category"
"CUMULAT","CUMULAT"
"DUMP","Dredge"
"SQUID","CommFishery"
"TRAWL","CommFishery"
"SHARKFI","CommFishery"
"LINEFIS","CommFishery"
"MARICUL","ADZ"
"SHIPINT","Shipping"
"AbalnRf","Biodiversity"
"SqdSpwnn","Biodiversity"
"Psaltrx","Biodiversity"
"Urobnsn","Biodiversity"
"Sdrbnns","Biodiversity"
"Pcmmrsn","Biodiversity"
"Llthgnt","Biodiversity"
"Lamia","Biodiversity"
"Dsargus","Biodiversity"
"Dhttntt","Biodiversity"
"Osharks","Biodiversity"
"Srays","Biodiversity"
"Erays","Biodiversity"
"Emachnt","Biodiversity"
"Emargnt","Biodiversity"
"Rholubi","Biodiversity"
"Gcrvdns","Biodiversity"
"SbsstnF","SubFish"
"Reef","Biodiversity"
"RcrtnlSp","RecreationExtract"
"RcrtnlSk","RecreationExtract"
"RcrtnlSh","RecreationExtract"
"RcrtnSC","RecreationExtract"
"RcrtnlK","RecreationExtract"
"AglhBE","Biodiversity"
"AglDI","Biodiversity"
"AglES","Biodiversity"
"AglhERS","Biodiversity"
"AgISRS","Biodiversity"
"AglISS","Biodiversity"
"AglhsIS","Biodiversity"
"AglMSRC","Biodiversity"
"AglhsMS","Biodiversity"
"AgOSRC","Biodiversity"
"AgSIS1","Biodiversity"
"AgSMS1","Biodiversity"
"AglhSOS","Biodiversity"
"AglhSRS","Biodiversity"
"AglSMS","Biodiversity"
"WrmTmAE","Biodiversity"
"Wrecks","Heritage"
"FshTrps","Heritage"
"OthrHrS","Heritage"
"MddnsnP","Heritage"
"ShrkCgD","RecreationNonExtract"
"RcrtnlB","RecreationNonExtract"
"APBreed","Biodiversity"
"STBreed","Biodiversity"
"CGBreed","Biodiversity"
"SmallBt","RecreationNonExtract"
"OWSwim","RecreationNonExtract"
"SurfSki","RecreationNonExtract"
"SUP","RecreationNonExtract"
"KiteBrd","RecreationNonExtract"
"Turtles","Biodiversity"
"Surfing","RecreationNonExtract"
"LifeSvC","RecreationNonExtract"
"DamTrnF","Biodiversity"
"Brdwtch","RecreationNonExtract"
"RsTrnRs","Biodiversity"
"AntTrnR","Biodiversity"
"OthrTrR","Biodiversity"
"CstWhlW","RecreationNonExtract"
"Baitbll","Biodiversity"
"SqudSpwn","Biodiversity"
"SABAPrc","Biodiversity"
"SABAPbn","Biodiversity"
"FishLrv","Biodiversity"
"Hghprfl","Biodiversity"
"CrGnntA","Biodiversity"
"GanntUs","Biodiversity"
"CrPngnA","Biodiversity"
"PengnUs","Biodiversity"
"PrpsdMr","ADZ"
"OffshrL","mining"
"defence","defence"
"Blstwtr","waste"
"wastwtr","waste"
"ANCHOR","Anchorage"
"SHIPPIN","Shipping"
"Ajapncs","Biodiversity"
"Ainodrs","Biodiversity"
"Aaqudns","Biodiversity"
"Aargyrzn","Biodiversity"
"Ccristcp","Biodiversity"
"Cgibbcps","Biodiversity"
"Clatcps","Biodiversity"
"Cnasuts","Biodiversity"
"Cnufar","Biodiversity"
"Prupstrs","Biodiversity"
"Pundlss","Biodiversity"
"Pprerbt","Biodiversity"
"Slaland","Biodiversity"
"CH_CC","Heritage"
"CH_CR","Heritage"
"CH_WS","Heritage"
"CL_BH","Heritage"
"CL_CC","Heritage"
"CL_CR","Heritage"
"CL_WS","Heritage"
"CR_BH","RecreationNonExtract"
"CR_CC","RecreationNonExtract"
"CR_CR","RecreationNonExtract"
"CR_WS","RecreationNonExtract"
"CS_BH","Heritage"
"CS_WS","Heritage"
"LS_BH","SubFish"
"LS_CC","SubFish"
"LS_CR","SubFish"
"LS_WS","SubFish"
"SSF","CommFishery"
"Hmpbcks","Biodiversity"
"HBdlphn","Biodiversity"
"BWhale","Biodiversity"
"ComDol","Biodiversity"
"BttlnDl","Biodiversity"
"SRghtWh","Biodiversity"
"Minke","Biodiversity"
"Orca","Biodiversity"
"WhtShrk","Biodiversity"
"Raggies","Biodiversity"
"SandSharks","Biodiversity"
"BrnzWhl","Biodiversity"
"BllShrk","Biodiversity"
"GllyShr","Biodiversity"
"Porodrm","Biodiversity"
"Hplblph","Biodiversity"
"HammerJ","Biodiversity"
"DiveRec","RecreationNonExtract"
"LargBts","RecreationNonExtract"
"SCP","Biodiversity"
"DTBreed","Biodiversity"
"SMALLPE","CommFishery"
